Score:,0
Date:,8/27/18
Time ended:,12:01
Initial:,gm
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/27/18
Time ended:,1:47
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,2
Date:,8/28/18
Time ended:,10:43
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/29/18
Time ended:,10:45
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/30/18
Time ended:,10:54
Initial:,LM
,WRONG HAND
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/31/18
Time ended:,11:45
Initial:,GM
,WRONG HAND
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/4/18
Time ended:,10:59
Initial:,AW
,WRONG HAND
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/5/18
Time ended:,10:49
Initial:,AW
,WRONG HAND
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/6/18
Time ended:,11:46
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/7/18
Time ended:,10:46
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/10/18
Time ended:,11:15
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/11/18
Time ended:,10:45
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/12/18
Time ended:,1:08
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/13/18
Time ended:,12:21
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/14/18
Time ended:,12:39
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/17/18
Time ended:,11:05
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/18/18
Time ended:,1:42
Initial:,rlm
,
,
,
,
,
,
,
,
,
,
Score:,1
Date:,9/19/18
Time ended:,12:18
Initial:,BK
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,9/20/18
Time ended:,12:55
Initial:,AW
,Touched with correct paw
,Used correct paw to reach block after pasta was gone
,
,
,
,
,
,
,
,
Score:,0
Date:,9/21/18
Time ended:,12:02
Initial:,GM
,WRONG HAND
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
