Score:,0
Date:,4/5/18
Time End:,2:28 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/9/18
Time End:,2:25PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/10/18
Time End:,10:44 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/11/18
Time End:,1:10 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,9
Date:,4/12/18
Time End:,1:20 PM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,6
Date:,4/13/18
Time End:,1:22PM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,25
Date:,4/16/18
Time End:,11:15 AM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,17
Date:,4/17/18
Time End:,10:41 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,17
Date:,4/18/18
Time End:,11:56 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,23
Date:,4/19/18
Time End:,12:17 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,25
Date:,4/20/18
Time End:,12:45 PM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,18
Date:,4/23/18
Time End:,11:03 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,24
Date:,4/24/18
Time End:,12:01 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,22
Date:,4/25/18
Time End:,2:49 PM
Initial:,RB
,
,
,
,
,
,
,
,
,
Score:,6
Date:,4/26/18
Time End:,10:49 AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,12
Date:,4/27/18
Time End:,10:49 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,20
Date:,4/30/18
Time End:,10:45 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,15
Date:,5/1/18
Time End:,10:42 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,18
Date:,5/2/18
Time End:,11:05 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,25
Date:,5/3/18
Time End:,11:11 AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,30
Date:,5/4/18
Time End:,1:13 AM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,20
Date:,5/7/18
Time End:,10:35 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,21
Date:,5/8/18
Time End:,11:44 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,27
Date:,5/9/18
Time End:,1:15 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,22
Date:,5/10/18
Time End:,11:15 AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,24
Date:,5/11/18
Time End:,10:35 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,29
Date:,5/14/18
Time End:,1:20 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,25
Date:,5/15/18
Time End:,10:38 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,26
Date:,5/16/18
Time End:,1:35 PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,24
Date:,5/17/18
Time End:,1:46 AM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,33
Date:,5/18/18
Time End:,11:53 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,31
Date:,5/21/18
Time End:,10:25 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,29
Date:,5/22/18
Time End:,11:56 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,34
Date:,5/23/18
Time End:,12:49 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,35
Date:,5/24/18
Time End:,12:05 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,35
Date:,5/25/18
Time End:,2:42 AM
Initial:,gm
,
,
,
,
,
,
,
,
,
Score:,42
Date:,5/29/18
Time End:,12:11PM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,43
Date:,5/30/18
Time End:,1:02 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,35
Date:,5/31/18
Time End:,10:43 AM
Initial:,JR
,
,
,
,
,
,
,
,
,
Score:,31
Date:,6/1/18
Time End:,10:55 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,36
Date:,6/4/18
Time End:,1:57 PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,40
Date:,6/5/18
Time End:,10:12 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,45
Date:,6/20/18
Time End:,2:45 PM
Initial:,LM
,
,
,
,
,
,
,
,
,
Score:,47
Date:,6/21/18
Time End:,11:23 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time End:,
Initial:,
