Score:,0
Date:,7/12/18
Time ended:,11:46
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/13/18
Time ended:,1:21
Initial:,JR
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/16/18
Time ended:,11:03
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/17/18
Time ended:,1:12
Initial:,KT
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/20/18
Time ended:,1:17
Initial:,MH
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/24/18
Time ended:,10:58
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/25/18
Time ended:,1:28
Initial:,LM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/26/18
Time ended:,1:33
Initial:,KT
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/27/18
Time ended:,11:55
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,7/30/18
Time ended:,1:57
Initial:,RB
,
,
,
,
,
,
,
,
,
,
Score:,1
Date:,7/31/18
Time ended:,11:25
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/1/18
Time ended:,1:55
Initial:,RB
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/2/18
Time ended:,10:48
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/3/18
Time ended:,10:25
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,0
Date:,8/21/18
Time ended:,12:47
Initial:,GM
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time ended:,
Initial:,
,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
