,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,59,2018-06-20,11:52 AM,GM,0,0
1,1,58,2018-06-21,2:44 PM,RB,1,0
2,2,3,2018-07-09,3:25,LM,19,3
3,3,2,2018-07-10,10:47,LM,20,4
4,4,3,2018-07-12,2:05,KG,22,4
5,5,0,2018-07-16,2:44 AM,LM,26,5
6,6,0,2018-07-17,3:15,LM,27,5
7,7,0,2018-07-18,n/a,KG,28,5
8,8,0,2018-07-19,2:35,LM,29,5
9,9,0,2018-07-20,1:20,LM,30,6
10,10,0,2018-07-23,10:40,LM,33,6
11,11,0,2018-07-24,11:53,LM,34,6
12,12,0,2018-07-25,10:30,LM,35,7
13,13,0,2018-07-26,10:33,LM,36,7
14,14,0,2018-07-27,11:55,GM,37,7
15,15,5,2018-07-30,10:05,GM,40,8
16,16,8,2018-07-31,11:35,GM,41,8
17,17,7,2018-08-01,11:59,GM,42,8
18,18,9,2018-08-02,10:48,GM,43,8
19,19,4,2018-08-03,10:25,GM,44,8
20,20,5,2018-08-07,12:35,GM,48,9
