,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,35,2018-08-27,GM,n/a,6,1
1,1,4,2018-09-10,11:10,LM,20,4
2,2,2,2018-09-18,n/a,AW,28,5
3,3,1,2018-09-19,11:05 AM,AW,29,5
4,4,1,2018-09-20,10:50,aw,30,6
5,5,2,2018-09-21,12:24,GM,31,6
6,6,3,2018-09-24,1:51,KG,34,6
7,7,1,2018-09-25,12:54,KG,35,7
8,8,5,2018-09-26,11:15,bk,36,7
9,9,10,2018-09-27,11:24,KG,37,7
10,10,6,2018-09-28,11:33,GM,38,7
11,11,34,2018-08-21,10:51 AM,GM,0,0
12,12,31,2018-08-22,10:49 AM,LM,1,0
13,13,35,2018-08-27,11:09,GM,6,1
