,Score,Date,Time ended,Initial
0,11,4/5/18,12:02 PM,KT
1,0,4/9/18,11:55 AM,ED
2,0,4/10/18,12:09,CG
3,6,4/11/18,2:37pm,KD
4,5,4/12/18,1:20 PM,GM
5,5,4/13/18,2:22 PM,GM
6,1,4/16/18,11:15 AM,GM
7,2,4/17/18,12:00 AM,CG
8,0,4/18/18,11:56 AM,PL
9,2,4/19/18,10:47AM,AD
10,0,4/20/18,1:42PM,AD
11,1,4/23/18,11:03 AM,PL
12,0,4/24/18,11:30 AM,CG
13,0,4/25/18,12:02 PM,PL
14,0,4/26/18,10:49 AM,AD
15,0,4/27/18,1:04 PM,PL
16,0,4/30/18,10:45 AM,KT
17,1,5/1/18,11:54 AM,CG
18,10,5/2/18,2:39 PM,KD
19,16,5/3/18,11:54 AM,KT
20,18,5/4/18,12:10 PM,PL
21,17,5/7/18,10:35 AM,ED
22,23,5/8/18,10:53 AM,CG
23,23,5/9/18,10:05am,ED
24,25,5/10/18,1:19 AM,gm
25,24,5/11/18,1:26PM,GM
26,24,5/14/18,10:20 AM,ED
27,31,5/15/18,10:38 AM,CG
28,26,5/16/18,11:55 AM,ED
29,26,5/17/18,11:57 AM,KT
30,33,5/18/18,12:12 PM,PL
31,28,5/21/18,10:25 AM,ED
32,32,5/22/18,12:21 PM,CG
33,25,5/23/18,10:45 AM,ED
34,32,5/24/18,10:58 AM,KT
35,28,5/30/18,10:35 AM,ED
36,31,5/31/18,12:05 PM,KT
37,24,6/1/18,11:25 AM,PL
38,35,6/4/18,10:51 AM,ED
39,33,6/5/18,10:12 AM,ED
40,39,6/20/18,11:52 AM,GM
41,35,6/21/18,2:44 PM,RB
0,0,7/9/18,3:25,LM
1,0,7/11/18,10:47,LM
2,0,7/16/18,2:00,LM
3,0,7/17/18,3:15 AM,LM
4,0,7/18/18,n/a,RB
5,0,7/19/18,10:43,LM
6,0,7/20/18,2:00,LM
7,0,7/23/18,10:40,LM
8,0,7/24/18,11:53,LM
9,0,7/25/18,10:30,LM
10,0,7/26/18,10:33,LM
11,0,7/27/18,11:55,GM
12,0,7/30/18,10:05,GM
13,0,7/31/18,11:35,GM
14,0,8/1/18,11:59,GM
15,0,8/2/18,10:48,GM
16,0,8/3/18,10:25,GM
17,0,8/7/18,12:35,GM
