,Score,Date,Time ended,Initial
0,35,8/27/18,GM,n/a
1,4,9/10/18,11:10,LM
2,2,9/18/18,n/a,AW
3,1,9/19/18,11:05 AM,AW
4,1,9/20/18,10:50,aw
5,2,9/21/18,12:24,GM
6,3,9/24/18,1:51,KG
7,1,9/25/18,12:54,KG
8,5,9/26/18,11:15,bk
9,10,9/27/18,11:24,KG
10,6,9/28/18,11:33,GM
11,4,10/1/18,12:47,RLM
12,6,10/2/18,11:13,rlm
13,5,10/3/18,1:55,RB
14,1,10/4/18,12:41,KT
15,6,10/5/18,12:07,JR
16,7,10/8/18,11:35,KG
17,6,10/9/18,11:30,rlm
0,29,7/9/18,12:19,LM
1,29,7/10/18,11:43,KT
2,32,7/11/18,11:44,n/a
3,30,7/12/18,10:41 AM,KT
4,28,7/13/18,11:15,GM
5,32,7/16/18,11:03,gm
6,30,7/17/18,11:39,KT
7,26,7/18/18,11:38,GM
8,29,7/19/18,10:28,KT
9,25,7/20/18,10:40,LM
10,28,7/23/18,10:18,GM
11,26,7/24/18,10:58,LM
12,28,7/25/18,10:30,LM
13,31,7/26/18,10:33,KT
14,30,7/27/18,10:59,GM
15,28,7/30/18,10:05,GM
16,29,7/31/18,11:25,GM
17,31,8/1/18,11:59,GM
18,31,8/6/18,11:05,GM
19,35,8/7/18,1:45,GM
20,29,8/8/18,11:12,LM
21,36,8/13/18,3:26,LM
22,35,8/14/18,12:18,LM
23,37,8/15/18,12:10,GM
24,29,8/20/18,12:27,GM
25,34,8/21/18,10:51 AM,GM
26,31,8/22/18,10:49 AM,LM
27,35,8/27/18,11:09,GM
