,Score,Date,Time ended,Initial
0,27,7/9/18,10:30,LM
1,31,7/10/18,12:05,KT
2,26,7/11/18,10:59,LM
3,25,7/12/18,11:46,GM
4,28,7/13/18,10:33,GM
5,30,7/16/18,10:23,RB
6,32,7/17/18,2:25,RB
7,23,7/18/18,11:38,GM
8,32,7/19/18,10:28,KT
9,31,7/20/18,10:20,LM
10,27,7/23/18,10:18,GM
11,30,7/24/18,10:58,LM
12,26,7/25/18,11:20,GM
13,31,7/26/18,10:33,KT
14,27,7/30/18,10:05,GM
15,28,7/31/18,12:51,KT
16,28,8/1/18,11:59,GM
17,26,8/6/18,10:25,GM
18,25,8/7/18,12:10,KT
19,34,8/8/18,12:49,RB
20,35,8/13/18,3:26,LM
21,33,8/14/18,12:18,LM
22,33,8/15/18,2:07,RB
23,38,8/20/18,12:27,GM
24,30,8/21/18,10:42 AM,GM
25,30,8/22/18,10:49 AM,LM
0,30,8/27/18,3:17 PM,RLM
1,7,9/10/18,11:10,LM
2,3,9/18/18,n/a,bk
3,2,9/19/18,11:32,KG
4,5,9/20/18,1:15,AW
5,8,9/21/18,12:25,rlm
6,10,9/24/18,3:22,KG
7,13,9/25/18,1:13,KG
8,0,9/26/18,11:36,bk
9,10,9/27/18,12:26,AW
10,7,9/28/18,11:09,RLM
11,8,10/1/18,10:42,RLM
12,13,10/2/18,10:50,rlm
13,12,10/3/18,1:55,RB
14,13,10/4/18,13:01,KT
15,12,10/5/18,12:39,GM
16,13,10/8/18,11:50,KG
